Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"RED","REDEIA CORPORACION SA","Utilities","Equity","1,212,866.46","0.22","1,212,866.46","83,187.00","14.58","Spain","Bolsa De Madrid","EUR"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","1,207,669.86","0.22","1,207,669.86","936.00","1,290.25","Switzerland","SIX Swiss Exchange","CHF"
"GJF","GJENSIDIGE FORSIKRING","Financials","Equity","1,191,331.32","0.22","1,191,331.32","51,743.00","23.02","Norway","Oslo Bors Asa","NOK"
"ZAL","ZALANDO","Consumer Discretionary","Equity","1,176,206.65","0.22","1,176,206.65","59,210.00","19.86","Germany","Xetra","EUR"
"EDPR","EDP RENOVAVEIS SA","Utilities","Equity","1,176,004.36","0.22","1,176,004.36","84,241.00","13.96","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"LEG","LEG IMMOBILIEN N","Real Estate","Equity","1,163,499.00","0.21","1,163,499.00","19,940.00","58.35","Germany","Xetra","EUR"
"LOTB","LOTUS BAKERIES NV","Consumer Staples","Equity","1,157,760.00","0.21","1,157,760.00","108.00","10,720.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"EVK","EVONIK INDUSTRIES AG","Materials","Equity","1,152,603.27","0.21","1,152,603.27","66,663.00","17.29","Germany","Xetra","EUR"
"AVOL","AVOLTA AG","Consumer Discretionary","Equity","1,135,304.72","0.21","1,135,304.72","22,809.00","49.77","Switzerland","SIX Swiss Exchange","CHF"
"BMED","BANCA MEDIOLANUM","Financials","Equity","1,122,179.20","0.21","1,122,179.20","58,144.00","19.30","Italy","Borsa Italiana","EUR"
"SYENS","SYENSQO NV","Materials","Equity","1,080,678.00","0.20","1,080,678.00","18,860.00","57.30","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"IDR","INDRA SISTEMAS SA","Information Technology","Equity","1,072,468.50","0.20","1,072,468.50","21,237.00","50.50","Spain","Bolsa De Madrid","EUR"
"BTRW","BARRATT REDROW PLC","Consumer Discretionary","Equity","1,069,007.67","0.20","1,069,007.67","350,997.00","3.05","United Kingdom","London Stock Exchange","GBP"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","1,062,657.70","0.19","1,062,657.70","918,337.00","115.72","United Kingdom","-","GBP"
"TUB","FINANCIERE DE TUBIZE SA","Health Care","Equity","1,048,492.80","0.19","1,048,492.80","5,232.00","200.40","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"AYV","AYVENS SA","Industrials","Equity","1,022,511.62","0.19","1,022,511.62","91,459.00","11.18","France","Nyse Euronext - Euronext Paris","EUR"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","1,017,491.00","0.19","1,017,491.00","50,900.00","19.99","Germany","Xetra","EUR"
"ENT","ENTAIN PLC","Consumer Discretionary","Equity","1,017,415.33","0.19","1,017,415.33","160,445.00","6.34","United Kingdom","London Stock Exchange","GBP"
"MAP","MAPFRE SA","Financials","Equity","1,015,795.31","0.19","1,015,795.31","243,947.00","4.16","Spain","Bolsa De Madrid","EUR"
"AAF","AIRTEL AFRICA PLC","Communication","Equity","1,004,129.13","0.18","1,004,129.13","236,446.00","4.25","United Kingdom","London Stock Exchange","GBP"
"SW","SODEXO SA","Consumer Discretionary","Equity","1,000,357.60","0.18","1,000,357.60","23,560.00","42.46","France","Nyse Euronext - Euronext Paris","EUR"
"INPST","INPOST SA","Industrials","Equity","994,002.90","0.18","994,002.90","65,010.00","15.29","Netherlands","Euronext Amsterdam","EUR"
"DIE","DIETEREN (D) SA","Consumer Discretionary","Equity","991,412.80","0.18","991,412.80","5,576.00","177.80","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"BOL","BOLLORE","Energy","Equity","972,819.75","0.18","972,819.75","185,299.00","5.25","France","Nyse Euronext - Euronext Paris","EUR"
"BCVN","BC VAUD N","Financials","Equity","968,856.55","0.18","968,856.55","7,911.00","122.47","Switzerland","SIX Swiss Exchange","CHF"
"LUND B","LUNDBERGFORETAGEN CLASS B","Financials","Equity","963,803.67","0.18","963,803.67","19,753.00","48.79","Sweden","Nasdaq Omx Nordic","SEK"
"BZU","BUZZI","Materials","Equity","961,785.00","0.18","961,785.00","20,100.00","47.85","Italy","Borsa Italiana","EUR"
"ADP","AEROPORTS DE PARIS SA","Industrials","Equity","957,694.40","0.18","957,694.40","8,984.00","106.60","France","Nyse Euronext - Euronext Paris","EUR"
"BALD B","FASTIGHETS BALDER CLASS B","Real Estate","Equity","951,894.93","0.17","951,894.93","185,791.00","5.12","Sweden","Nasdaq Omx Nordic","SEK"
"SAGA B","SAGAX CLASS B","Real Estate","Equity","948,654.79","0.17","948,654.79","57,035.00","16.63","Sweden","Nasdaq Omx Nordic","SEK"
"NEM","NEMETSCHEK","Information Technology","Equity","940,739.90","0.17","940,739.90","15,247.00","61.70","Germany","Xetra","EUR"
"SOF","SOFINA SA","Financials","Equity","933,878.40","0.17","933,878.40","4,276.00","218.40","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"BKW","BKW N AG","Utilities","Equity","924,383.06","0.17","924,383.06","5,596.00","165.19","Switzerland","SIX Swiss Exchange","CHF"
"EVD","CTS EVENTIM AG","Communication","Equity","923,992.20","0.17","923,992.20","16,559.00","55.80","Germany","Xetra","EUR"
"CPR","DAVIDE CAMPARI MILANO NV","Consumer Staples","Equity","899,452.90","0.16","899,452.90","160,045.00","5.62","Italy","Borsa Italiana","EUR"
"SALM","SALMAR","Consumer Staples","Equity","875,566.72","0.16","875,566.72","17,873.00","48.99","Norway","Oslo Bors Asa","NOK"
"GFC","GECINA SA","Real Estate","Equity","872,726.40","0.16","872,726.40","11,988.00","72.80","France","Nyse Euronext - Euronext Paris","EUR"
"RAA","RATIONAL AG","Industrials","Equity","867,240.00","0.16","867,240.00","1,314.00","660.00","Germany","Xetra","EUR"
"COV","COVIVIO SA","Real Estate","Equity","802,579.80","0.15","802,579.80","14,487.00","55.40","France","Nyse Euronext - Euronext Paris","EUR"
"DEMANT","DEMANT","Health Care","Equity","782,259.62","0.14","782,259.62","25,089.00","31.18","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BIM","BIOMERIEUX SA","Health Care","Equity","779,469.30","0.14","779,469.30","10,963.00","71.10","France","Nyse Euronext - Euronext Paris","EUR"
"VSURE","VERISURE PLC","Industrials","Equity","741,318.62","0.14","741,318.62","67,027.00","11.06","Sweden","Nasdaq Omx Nordic","EUR"
"CVC","CVC CAPITAL PARTNERS PLC","Financials","Equity","735,590.46","0.13","735,590.46","55,266.00","13.31","Netherlands","Euronext Amsterdam","EUR"
"LATO B","LATOUR INVESTMENT CLASS B","Industrials","Equity","734,916.19","0.13","734,916.19","38,923.00","18.88","Sweden","Nasdaq Omx Nordic","SEK"
"RAND","RANDSTAD HOLDING","Industrials","Equity","721,121.90","0.13","721,121.90","28,235.00","25.54","Netherlands","Euronext Amsterdam","EUR"
"GRF","GRIFOLS SA CLASS A","Health Care","Equity","706,608.66","0.13","706,608.66","79,039.00","8.94","Spain","Bolsa De Madrid","EUR"
"ROCK B","ROCKWOOL CLASS B","Industrials","Equity","634,293.24","0.12","634,293.24","25,307.00","25.06","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Cash and/or Derivatives","Money Market","615,730.39","0.11","615,730.39","5,655.00","108.88","Ireland","-","EUR"
"JD.","JD SPORTS FASHION PLC","Consumer Discretionary","Equity","569,310.69","0.10","569,310.69","655,290.00","0.87","United Kingdom","London Stock Exchange","GBP"
"HOLM B","HOLMEN CLASS B","Materials","Equity","538,803.43","0.10","538,803.43","18,657.00","28.88","Sweden","Nasdaq Omx Nordic","SEK"
"HSBFT","CASH COLLATERAL EUR HSBFT","Cash and/or Derivatives","Cash Collateral and Margins","300,000.00","0.05","300,000.00","300,000.00","100.00","European Union","-","EUR"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","212,062.67","0.04","212,062.67","2,300,783.00","9.22","Norway","-","NOK"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","145,105.84","0.03","145,105.84","132,820.00","109.25","Switzerland","-","CHF"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","135,785.07","0.02","135,785.07","1,473,542.00","9.21","Sweden","-","SEK"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","120,076.50","0.02","120,076.50","897,318.00","13.38","Denmark","-","DKK"
"ICSSAGD","BLK ICS GBP LIQ AGENCY DIS","Cash and/or Derivatives","Money Market","37,546.17","0.01","37,546.17","32,447.00","1.16","Ireland","-","GBP"
"USD","USD CASH","Cash and/or Derivatives","Cash","14,118.55","0.00","14,118.55","16,625.00","84.93","United States","-","USD"
"RE2G=M6","RED ELECTRICA CORPOR SA JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","339,047.12","23,200.00","14.61","-","Eurex Deutschland","EUR"
"SXTM6","STOXX EUR SMALL200 JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","959,665.00","49.00","391.70","European Union","Eurex Deutschland","EUR"
"SXRM6","STOXX EUR MID 200 JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","3,689,610.00","114.00","647.30","European Union","Eurex Deutschland","EUR"
 
