Fund Holdings as of,"08-May-26"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BOL","BOLIDEN","Materials","Equity","3,515,783.92","0.64","3,515,783.92","74,402.00","47.25","Sweden","Nasdaq Omx Nordic","SEK"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","3,508,253.00","0.64","3,508,253.00","813,791.00","4.31","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"GMAB","GENMAB","Health Care","Equity","3,506,225.44","0.64","3,506,225.44","15,962.00","219.66","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"CLNX","CELLNEX TELECOM","Communication","Equity","3,500,009.82","0.64","3,500,009.82","124,246.00","28.17","Spain","Bolsa De Madrid","EUR"
"UPM","UPM-KYMMENE","Materials","Equity","3,499,871.43","0.64","3,499,871.43","138,171.00","25.33","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"NHY","NORSK HYDRO","Materials","Equity","3,476,449.19","0.64","3,476,449.19","362,672.00","9.59","Norway","Oslo Bors Asa","NOK"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","3,458,130.26","0.63","3,458,130.26","160,247.00","21.58","Italy","Borsa Italiana","EUR"
"SRG","SNAM","Utilities","Equity","3,413,147.14","0.63","3,413,147.14","528,024.00","6.46","Italy","Borsa Italiana","EUR"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","3,364,851.20","0.62","3,364,851.20","52,840.00","63.68","France","Nyse Euronext - Euronext Paris","EUR"
"MONC","MONCLER","Consumer Discretionary","Equity","3,333,983.00","0.61","3,333,983.00","61,174.00","54.50","Italy","Borsa Italiana","EUR"
"KOG","KONGSBERG GRUPPEN","Industrials","Equity","3,283,741.79","0.60","3,283,741.79","115,149.00","28.52","Norway","Oslo Bors Asa","NOK"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","3,250,644.60","0.60","3,250,644.60","31,916.00","101.85","France","Nyse Euronext - Euronext Paris","EUR"
"INF","INFORMA PLC","Communication","Equity","3,178,606.85","0.58","3,178,606.85","337,376.00","9.42","United Kingdom","London Stock Exchange","GBP"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","3,149,102.05","0.58","3,149,102.05","40,399.00","77.95","Ireland","Irish Stock Exchange - All Market","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","3,125,677.09","0.57","3,125,677.09","194,399.00","16.08","United Kingdom","London Stock Exchange","GBP"
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","3,065,539.80","0.56","3,065,539.80","42,459.00","72.20","Ireland","Irish Stock Exchange - All Market","EUR"
"NESTE","NESTE","Energy","Equity","3,027,945.85","0.55","3,027,945.85","110,711.00","27.35","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"DSFIR","DSM FIRMENICH AG","Materials","Equity","3,024,733.32","0.55","3,024,733.32","45,294.00","66.78","Netherlands","Euronext Amsterdam","EUR"
"ORSTED","ORSTED A/S","Utilities","Equity","3,011,548.28","0.55","3,011,548.28","138,620.00","21.73","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","2,997,710.25","0.55","2,997,710.25","21,026.00","142.57","Switzerland","SIX Swiss Exchange","CHF"
"BG","BAWAG GROUP AG","Financials","Equity","2,965,617.20","0.54","2,965,617.20","20,188.00","146.90","Austria","Wiener Boerse Ag","EUR"
"PST","POSTE ITALIANE","Financials","Equity","2,849,952.50","0.52","2,849,952.50","119,998.00","23.75","Italy","Borsa Italiana","EUR"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","2,825,480.92","0.52","2,825,480.92","24,678.00","114.49","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ENX","EURONEXT NV","Financials","Equity","2,810,616.80","0.52","2,810,616.80","20,264.00","138.70","France","Nyse Euronext - Euronext Paris","EUR"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","2,806,994.75","0.51","2,806,994.75","57,077.00","49.18","United Kingdom","London Stock Exchange","GBP"
"CNA","CENTRICA PLC","Utilities","Equity","2,785,895.92","0.51","2,785,895.92","1,202,567.00","2.32","United Kingdom","London Stock Exchange","GBP"
"EDV","ENDEAVOUR MINING","Materials","Equity","2,780,432.03","0.51","2,780,432.03","50,090.00","55.51","United Kingdom","London Stock Exchange","GBP"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","2,767,107.72","0.51","2,767,107.72","333,422.00","8.30","United Kingdom","London Stock Exchange","GBP"
"TELIA","TELIA COMPANY","Communication","Equity","2,766,992.39","0.51","2,766,992.39","618,995.00","4.47","Sweden","Nasdaq Omx Nordic","SEK"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","2,711,166.37","0.50","2,711,166.37","29,285.00","92.58","Switzerland","SIX Swiss Exchange","CHF"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","2,677,481.00","0.49","2,677,481.00","211,697.00","12.65","United Kingdom","London Stock Exchange","GBP"
"CA","CARREFOUR SA","Consumer Staples","Equity","2,655,562.82","0.49","2,655,562.82","154,708.00","17.16","France","Nyse Euronext - Euronext Paris","EUR"
"ASRNL","ASR NEDERLAND NV","Financials","Equity","2,642,671.62","0.48","2,642,671.62","40,669.00","64.98","Netherlands","Euronext Amsterdam","EUR"
"SVT","SEVERN TRENT PLC","Utilities","Equity","2,631,834.87","0.48","2,631,834.87","72,595.00","36.25","United Kingdom","London Stock Exchange","GBP"
"AGS","AGEAS SA","Financials","Equity","2,597,832.05","0.48","2,597,832.05","38,687.00","67.15","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","2,587,216.89","0.47","2,587,216.89","2,587,217.00","100.00","European Union","-","EUR"
"SOON","SONOVA HOLDING AG","Health Care","Equity","2,563,624.01","0.47","2,563,624.01","13,146.00","195.01","Switzerland","SIX Swiss Exchange","CHF"
"SY1","SYMRISE AG","Materials","Equity","2,554,722.72","0.47","2,554,722.72","34,872.00","73.26","Germany","Xetra","EUR"
"AKRBP","AKER BP","Energy","Equity","2,547,416.42","0.47","2,547,416.42","82,799.00","30.77","Norway","Oslo Bors Asa","NOK"
"METSO","METSO CORPORATION","Industrials","Equity","2,546,772.03","0.47","2,546,772.03","171,963.00","14.81","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"BKT","BANKINTER SA","Financials","Equity","2,536,856.02","0.46","2,536,856.02","180,881.00","14.03","Spain","Bolsa De Madrid","EUR"
"EN","BOUYGUES SA","Industrials","Equity","2,530,639.04","0.46","2,530,639.04","50,371.00","50.24","France","Nyse Euronext - Euronext Paris","EUR"
"SGE","THE SAGE GROUP PLC","Information Technology","Equity","2,511,301.53","0.46","2,511,301.53","247,518.00","10.15","United Kingdom","London Stock Exchange","GBP"
"TEN","TENARIS SA","Energy","Equity","2,505,458.40","0.46","2,505,458.40","98,485.00","25.44","Italy","Borsa Italiana","EUR"
"FGR","EIFFAGE SA","Industrials","Equity","2,498,664.00","0.46","2,498,664.00","17,976.00","139.00","France","Nyse Euronext - Euronext Paris","EUR"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","2,473,179.95","0.45","2,473,179.95","67,380.00","36.70","United Kingdom","London Stock Exchange","GBP"
"TEL2 B","TELE2 B","Communication","Equity","2,439,134.65","0.45","2,439,134.65","143,778.00","16.96","Sweden","Nasdaq Omx Nordic","SEK"
"FORTUM","FORTUM","Utilities","Equity","2,417,369.22","0.44","2,417,369.22","117,978.00","20.49","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","2,389,887.53","0.44","2,389,887.53","83,447.00","28.64","United Kingdom","London Stock Exchange","GBP"
"FRES","FRESNILLO PLC","Materials","Equity","2,369,281.92","0.43","2,369,281.92","57,321.00","41.33","United Kingdom","London Stock Exchange","GBP"
"BNZL","BUNZL","Industrials","Equity","2,360,595.28","0.43","2,360,595.28","85,213.00","27.70","United Kingdom","London Stock Exchange","GBP"
"AGN","AEGON LTD","Financials","Equity","2,346,334.14","0.43","2,346,334.14","331,216.00","7.08","Netherlands","Euronext Amsterdam","EUR"
"BVI","BUREAU VERITAS SA","Industrials","Equity","2,310,473.00","0.42","2,310,473.00","89,380.00","25.85","France","Nyse Euronext - Euronext Paris","EUR"
"TEL","TELENOR","Communication","Equity","2,299,109.77","0.42","2,299,109.77","161,661.00","14.22","Norway","Oslo Bors Asa","NOK"
"OMV","OMV AG","Energy","Equity","2,288,531.30","0.42","2,288,531.30","38,174.00","59.95","Austria","Wiener Boerse Ag","EUR"
"AKZA","AKZO NOBEL NV","Materials","Equity","2,282,691.12","0.42","2,282,691.12","44,988.00","50.74","Netherlands","Euronext Amsterdam","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","2,280,651.00","0.42","2,280,651.00","38,492.00","59.25","Germany","Xetra","EUR"
"ITRK","INTERTEK GROUP PLC","Industrials","Equity","2,267,368.48","0.42","2,267,368.48","39,907.00","56.82","United Kingdom","London Stock Exchange","GBP"
"RXL","REXEL SA","Industrials","Equity","2,234,547.20","0.41","2,234,547.20","58,496.00","38.20","France","Nyse Euronext - Euronext Paris","EUR"
"MOWI","MOWI","Consumer Staples","Equity","2,218,193.40","0.41","2,218,193.40","123,862.00","17.91","Norway","Oslo Bors Asa","NOK"
"HOT","HOCHTIEF AG","Industrials","Equity","2,213,568.00","0.41","2,213,568.00","4,032.00","549.00","Germany","Xetra","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","2,156,422.34","0.40","2,156,422.34","57,751.00","37.34","Germany","Xetra","EUR"
